Hole Depth (ft),True Vertical Depth (ft),Hydrostatic Pressure (psi),Confined Pressure (psi),Mechanical Specific Energy (psi),Unconfined Compressive Strength (psi),Confined Compressive Strength (psi),Young modulus (GPa),Bulk Density (g/cc),Porosity (fraction),Permeability (nD),Compressional wave (microsec/ft),Shear wave (microsec/ft),NPHI,Gamma
11237,9848.98,713.0953995,1181.28718,344921.1607,189706.6384,277373.8736,12999.20189,2.556942671,0.001959826,0.111975651,10.90857001,13.30564861,,
11238,9849.02,713.0982956,975.6963804,147324.2479,81028.33633,107850.1664,4871.674905,2.554023247,0.003831252,0.611003353,27.75371745,36.7555288,,
11239,9849.06,713.1011918,884.2443224,108342.1323,59588.17279,74995.55093,3323.998284,2.552385435,0.004881131,1.127937724,33.83969395,46.24841524,,
11240,9849.1,713.1040879,872.290493,115811.9512,63696.57315,79492.17119,3514.076117,2.552775168,0.004631303,0.987478435,32.5194236,44.13785497,,
11241,9849.14,713.106984,871.5535917,161984.6002,89091.53009,111125.3165,4911.669362,2.554453741,0.003555294,0.505666784,25.87519578,33.9430993,,
11242,9849.18,713.1098801,867.3276459,96909.77056,53300.37381,66278.26311,2926.716601,2.551686043,0.00532946,1.408920042,36.04788736,49.8445992,,
11243,9849.22,713.1127762,861.2522067,130530.6986,71791.88424,88871.28332,3919.070051,2.553425181,0.004214628,0.777832861,30.15030137,40.42263223,,
11244,9849.26,713.1156724,849.1384211,149578.6162,82268.23893,100899.6746,4437.378686,2.554094343,0.003785678,0.592772744,27.45300081,36.30169987,,
11245,9849.3,713.1185685,868.8859099,209954.3813,115474.9097,143754.0874,6350.090259,2.555479037,0.002898053,0.30141375,20.73877983,26.51827505,,
11246,9849.34,713.1214646,854.1028553,135737.8612,74655.82364,91916.20162,4046.843395,2.553624753,0.004086697,0.719449394,29.3757054,39.22752508,,
11247,9849.38,713.1243607,853.4159404,162037.0395,89120.37173,109666.7123,4827.606401,2.554455156,0.003554387,0.505340416,25.86878631,33.93359457,,
11248,9849.42,713.1272568,826.0263382,128958.863,70927.37466,85353.06177,3733.770317,2.553362113,0.004255056,0.796858386,30.39020187,40.79470715,,
11249,9849.46,713.130153,777.3825567,155128.404,85320.62221,97855.68299,4230.94893,2.55426147,0.003678545,0.551225143,26.73159346,35.21861812,,
11250,9849.5,713.1330491,830.4609176,164457.7115,90451.74133,109261.4328,4784.573591,2.55451957,0.003513096,0.490612387,25.57515233,33.49881669,,
11251,9849.54,713.1359452,837.3819191,179513.1034,98732.20686,119953.8987,5261.201303,2.554885094,0.003278786,0.411962477,23.84060301,30.95650579,,
11252,9849.58,713.1388413,849.8713956,148422.619,81632.44044,100175.4892,4406.262541,2.554058127,0.003808893,0.602017463,27.60663205,36.5333802,,
11253,9849.62,713.1417374,829.1099783,149963.6345,82479.99896,99516.97636,4356.496212,2.554106294,0.003778017,0.589740958,27.40209562,36.22501317,,
11254,9849.66,713.1446336,828.9029319,128772.5978,70824.9288,85439.1604,3740.040023,2.553354548,0.004259905,0.799159147,30.41882407,40.83916041,,
11255,9849.7,713.1475297,834.1144016,138468.3502,76157.59262,92276.36665,4044.212901,2.553724025,0.004023061,0.691428647,28.98132427,38.62268708,,
11256,9849.74,713.1504258,1076.450932,618616.7927,340239.236,476063.7426,21915.06013,2.558070587,0.001236803,0.034919942,-0.659155436,-0.762634905,,
11257,9849.78,713.1533219,1108.585029,374818.7533,206150.3143,301797.1591,13971.82471,2.556010001,0.002557692,0.219694653,9.26249648,11.21133057,,
11258,9849.82,713.156218,1125.873191,368445.9355,202645.2645,299864.7511,13923.79951,2.555966245,0.00258574,0.225844405,9.602072693,11.64074663,,
11259,9849.86,713.1591141,1133.64396,357759.7618,196767.869,282230.9196,13122.3697,2.557029461,0.001904192,0.104103414,10.18489014,12.38093374,,
11260,9849.9,713.1620103,1144.40391,366070.1543,201338.5849,290070.7866,13511.44638,2.557082729,0.001870045,0.099442612,9.730171551,11.80308919,,
11261,9849.94,713.1649064,1142.917214,365057.309,200781.5199,289091.7278,13462.47098,2.557076353,0.001874133,0.099993703,9.785035734,11.87267913,,
11262,9849.98,713.1678025,1156.986258,327212.8508,179967.0679,260607.1183,12164.62583,2.556813022,0.002042935,0.12438856,11.95223322,14.65034237,,
11263,9850.02,713.1706986,1138.05434,343580.4013,188969.2207,271539.3807,12634.71025,2.556933274,0.00196585,0.11284894,10.98569322,13.40456646,,
11264,9850.06,713.1735947,1141.466302,359130.3232,197521.6778,284227.7266,13232.72549,2.557038397,0.001898463,0.103312451,10.10917459,12.28454604,,
11265,9850.1,713.1764909,1149.826909,336740.6113,185207.3362,267419.4269,12467.69694,2.556884293,0.001997248,0.117467212,11.38387568,13.91641411,,
11266,9850.14,713.179387,1126.386226,348174.7408,191496.1074,273835.727,12716.29397,2.556965206,0.001945381,0.109898182,10.72265692,13.06749121,,
11267,9850.18,713.1822831,1130.15809,335045.3293,184274.9311,263925.7931,12263.99358,2.556871877,0.002005207,0.118655759,11.48381827,14.04518719,,
11268,9850.22,713.1851792,1136.709193,375824.3306,206703.3818,296855.6108,13809.52691,2.557142559,0.001831693,0.094360953,9.209442144,11.14436248,,
11269,9850.26,713.1880753,1142.700449,366430.6505,201536.8578,290150.7287,13511.2931,2.557084991,0.001868595,0.099247565,9.710680677,11.77837546,,
11270,9850.3,713.1909715,1150.861111,373834.9978,205609.2488,297000.511,13849.23166,2.557130583,0.00183937,0.095365193,9.314537405,11.27705162,,
11271,9850.34,713.1938676,1137.837574,363390.9506,199865.0229,287167.648,13361.40232,2.557065794,0.001880901,0.100910401,9.875631742,11.98766946,,
11272,9850.38,713.1967637,1119.785415,361318.7153,198725.2934,283380.9506,13144.66391,2.557052541,0.001889397,0.102068088,9.988875641,12.13154276,,
11273,9850.42,713.1996598,1132.234903,360781.0207,198429.5614,284442.7797,13222.04288,2.55704908,0.001891615,0.102371738,10.01836581,12.16903418,,
11274,9850.46,713.2025559,1110.303806,349191.4657,192055.3062,272762.564,12631.42449,2.556972171,0.001940916,0.109260842,10.66491629,12.99360902,,
11275,9850.5,713.205452,1125.602513,370869.0813,203977.9947,291585.3671,13538.73092,2.557112516,0.001850951,0.096892484,9.472268058,11.47643991,,
11276,9850.54,713.2083482,1118.617323,360683.4054,198375.873,292226.7206,13552.2517,2.555911246,0.002620996,0.23372067,10.02372429,12.17584763,,
