Hole Depth (ft),True Vertical Depth (ft),Hydrostatic Pressure (psi),Confined Pressure (psi),Mechanical Specific Energy (psi),Unconfined Compressive Strength (psi),Confined Compressive Strength (psi),Young modulus (GPa),Bulk Density (g/cc),Porosity (fraction),Permeability (nD),Compressional wave (microsec/ft),Shear wave (microsec/ft),Gamma (API)
9292,8919.3,706.3260386363999,1110.245420994257,144234.2383583293,79328.83109708113,116751.11141639015,5406.599389113097,2.5526758755810732,0.004694951550594097,1.0221934078475843,28.17346581056335,37.39132387743099,71.0
9293,8919.9,706.3735530851999,1322.3348654930571,100602.97385910766,55331.63562250922,91637.85580605209,4388.951196694724,2.550789934622916,0.0059038880622332545,1.8256400068998224,35.30726412381118,48.62907492594521,69.8
9294,8920.6,706.4289866088,1534.6321743095143,82236.7910473564,45230.235076046025,82640.31543892164,4073.163694488548,2.5495301341062344,0.00671145249600374,2.5255379169863845,39.29892822029975,55.295466530551444,69.8
9295,8921.2,706.4765010576,1613.1781911040287,80476.32352651593,44261.97793958377,83557.65174974153,4158.161138832101,2.5493850423837205,0.00680446001043563,2.615073149545195,39.72743828167359,56.02826153786147,69.8
9296,8921.9,706.5319345811998,1566.1565171969141,82221.21001856498,45221.66551021074,83729.8281878624,4143.0571313316295,2.5495288722917064,0.006712261351470378,2.526308451311909,39.30268036641018,55.30186833300618,69.8
9297,8922.5,706.57944903,1591.8570063042857,99004.53221738637,54452.492719562506,101899.69848126333,5057.9564941606495,2.5506956387189628,0.005964334154511007,1.873325486414952,35.624416389001894,49.148421954650736,69.8
9298,8923.1,706.6269634788,1588.2155310223716,83281.82590321566,45805.00424676862,85587.09854686575,4246.380741320924,2.549613882243687,0.006657767792508462,2.474714089398675,39.048877381545395,54.86942195487503,72.3
9299,8923.8,706.6823970023999,1557.849295845257,89173.96478924656,49045.68063408561,90488.47431233832,4472.899454665953,2.5500557558797805,0.006374515461679223,2.2168197319852143,37.69523830262644,52.582882576129265,74.9
9300,8924.4,706.7299114511998,1575.531980714057,87696.52603052014,48233.08931678608,89648.11390160838,4441.003443629353,2.5499495294834924,0.0064426093054535515,2.2772533920798588,38.02606673421891,53.13864071341033,77.5
9301,8925.1,706.7853449748,1583.6951938355144,76280.30316441519,41954.16674042836,78240.46042892872,3879.7488877301516,2.5490173055623044,0.007040188742112772,2.850515318935179,40.78780003203013,57.85630763705952,81.4
9302,8925.7,706.8328594236,1534.6061648521716,89003.03758562704,48951.67067209488,89423.32793978149,4407.46942827466,2.550043614066195,0.0063822986755161445,2.2236776403781504,37.733230839200196,52.646605932877755,85.3
9303,8926.3,706.8803738723998,1598.8860885688287,87500.47443339403,48125.26093836672,90308.24815944326,4486.401556997843,2.5499352133238826,0.006451786330844287,2.2854733316110245,38.07038497544777,53.213240926141,83.7
9304,8927.0,706.935807396,1586.5149252488573,78476.84961407713,43162.26728774243,80582.28354030623,3997.243322988819,2.5492138225363625,0.006914216322844873,2.7231690154652917,40.2256432630829,56.88453390603951,82.2
9305,8927.6,706.9833218447999,1542.5344972205141,94867.82667569013,52177.30467162957,95632.46051027611,4718.183620458371,2.5504396115033723,0.006128454164504754,2.006571663255435,36.46958479225604,50.54098223461833,80.6
